{g .}	g,U+0323	g̣	LATIN SMALL LETTER g + COMBINING DOT BELOW
{element}	U+2208	∈	ELEMENT OF
{c s}	U+00E7	ç	LATIN SMALL LETTER C WITH CEDILLA
{a\\}	a,U+030F	ȁ	LATIN SMALL LETTER U + COMBINING DOUBLE GRAVE ACCENT
{3/4}	U+00BE	¾	VULGAR FRACTION THREE QUARTERS
{#3}	U+0437	з	CYRILLIC SMALL LETTER ZE
{}	-	-	Glue (REMOVE)
{<-}	U+2190	←	LEFTWARDS ARROW
{'}	U+2019	’	RIGHT SINGLE QUOTATION MARK
{%'}	U+2018	‘	LEFT SINGLE QUOTATION MARK
{ \}	U+0060	`	GRAVE ACCENT
{ /}	U+00B4	´	ACUTE ACCENT
{Zeta}	U+0396	Ζ	GREEK CAPITAL LETTER ZETA
{zenska}	U+2640	♀	FEMALE SIGN
{z -}	U+007A	z	LATIN SMALL LETTER Z
{u^}	U+00FB	û	LATIN SMALL LETTER U WITH CIRCUMFLEX
{S .}	U+1E62	Ṣ	LATIN CAPITAL LETTER S WITH DOT BELOW
{O %,}	U+01EA	Ǫ	LATIN CAPITAL LETTER O WITH OGONEK
{n.}	U+1E45	ṅ	LATIN SMALL LETTER N WITH DOT ABOVE
{n .}	U+1E47	ṇ	LATIN SMALL LETTER N WITH DOT BELOW
{mehki znak}	=	???	unknown
{manjsi}	&lt;	&lt;	LESS-THAN SIGN
{Lambda}	U+039B	Λ	GREEK CAPITAL LETTER LAMDA
{l,}	U+013E	ľ	LATIN SMALL LETTER L WITH CARON
{l %,}	Z,U+0328	Z̨	LATIN SMALL LETTER L + COMBINING OGONEK
{križ}	U+2020	†	DAGGER
{kapa}	U+03BA	κ	GREEK SMALL LETTER KAPPA
{i %u}	i,U+032F	i̯	LATIN SMALL LETTER I + COMBINING INVERTED BREVE BELOW
{Gama}	U+0393	Γ	GREEK CAPITAL LETTER GAMMA
{g*-}	=	???	unknown
{E^}	U+00CA	Ê	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
